Id,Source,Target,Type,Weight
851,28,112,Undirected,6697
852,28,116,Undirected,4472
853,28,119,Undirected,3775
854,28,135,Undirected,437
855,29,39,Undirected,2487
856,29,46,Undirected,913
858,29,73,Undirected,4576
859,29,77,Undirected,3017
860,29,78,Undirected,7682
861,29,83,Undirected,2459
862,29,88,Undirected,3865
863,29,97,Undirected,2816
864,29,100,Undirected,2433
865,29,101,Undirected,708
866,29,105,Undirected,3192
867,29,111,Undirected,4290
868,29,116,Undirected,528
869,29,119,Undirected,1744
874,30,32,Undirected,10733
875,30,33,Undirected,3306
876,30,34,Undirected,341
877,30,35,Undirected,471
878,30,37,Undirected,13024
879,30,42,Undirected,452
880,30,52,Undirected,2741
881,30,54,Undirected,555
882,30,57,Undirected,11680
883,30,59,Undirected,460
884,30,63,Undirected,356
885,30,64,Undirected,323
886,30,66,Undirected,3644
887,30,67,Undirected,167
888,30,72,Undirected,1767
889,30,74,Undirected,3619
890,30,79,Undirected,278
891,30,85,Undirected,2366
892,30,93,Undirected,2987
893,30,94,Undirected,6757
894,30,96,Undirected,165
895,30,98,Undirected,383
896,30,99,Undirected,753
897,30,105,Undirected,294
898,30,108,Undirected,3844
899,30,109,Undirected,7397
900,30,110,Undirected,442
901,30,112,Undirected,2085
902,30,113,Undirected,9673
903,30,114,Undirected,6457
904,30,115,Undirected,724
905,30,125,Undirected,3677
906,30,126,Undirected,4403
907,30,129,Undirected,1579
909,31,39,Undirected,926
910,31,48,Undirected,4554
911,31,67,Undirected,10750
912,31,79,Undirected,3835
913,31,80,Undirected,2269
914,31,84,Undirected,946
915,31,94,Undirected,4882
916,31,103,Undirected,229
917,31,110,Undirected,842
918,31,115,Undirected,960
919,31,118,Undirected,920
920,31,124,Undirected,4595
921,31,134,Undirected,2140
922,32,33,Undirected,2113
923,32,37,Undirected,10481
924,32,52,Undirected,4214
925,32,57,Undirected,572
926,32,66,Undirected,3499
927,32,72,Undirected,2513
928,32,74,Undirected,4391
929,32,85,Undirected,3835
930,32,93,Undirected,3918
931,32,108,Undirected,551
932,32,112,Undirected,4754
933,32,113,Undirected,3851
934,32,125,Undirected,2670
935,32,126,Undirected,633
936,32,129,Undirected,1003
938,33,37,Undirected,11076
939,33,52,Undirected,4040
940,33,56,Undirected,231
941,33,57,Undirected,9273
942,33,66,Undirected,4724
943,33,72,Undirected,4942
944,33,74,Undirected,3405
945,33,85,Undirected,4412
946,33,93,Undirected,4540
947,33,105,Undirected,220
948,33,108,Undirected,4628
949,33,109,Undirected,6972
950,33,112,Undirected,1065
951,33,113,Undirected,3956
952,33,125,Undirected,4249
953,33,126,Undirected,4152
954,33,129,Undirected,1260
955,34,21,Undirected,318
956,34,32,Undirected,2731
957,34,36,Undirected,1609
958,34,38,Undirected,8958
959,34,50,Undirected,10706
960,34,59,Undirected,177
961,34,63,Undirected,2050
962,34,70,Undirected,1617
963,34,75,Undirected,3096
964,34,76,Undirected,4880
965,34,77,Undirected,8067
966,34,81,Undirected,1427
967,34,82,Undirected,9036
968,34,90,Undirected,4603
969,34,92,Undirected,2282
970,34,98,Undirected,4496
971,34,99,Undirected,17120
972,34,102,Undirected,4144
973,34,104,Undirected,677
974,34,105,Undirected,7017
975,34,118,Undirected,1577
976,34,121,Undirected,4483
977,34,125,Undirected,366
978,34,131,Undirected,3560
979,34,132,Undirected,7587
981,35,21,Undirected,185
982,35,32,Undirected,365
983,35,34,Undirected,877
984,35,41,Undirected,15170
985,35,42,Undirected,2393
986,35,58,Undirected,12575
987,35,59,Undirected,1475
988,35,62,Undirected,13236
989,35,63,Undirected,12807
990,35,86,Undirected,3838
991,35,91,Undirected,4598
992,35,105,Undirected,398
993,35,109,Undirected,3147
994,35,114,Undirected,2081
995,35,115,Undirected,6187
996,35,120,Undirected,1548
997,35,127,Undirected,2388
998,35,128,Undirected,8267
999,35,129,Undirected,6177
1000,35,130,Undirected,349
1001,35,132,Undirected,153
1002,35,133,Undirected,4204
1003,35,134,Undirected,6177
1004,36,38,Undirected,9108
1005,36,50,Undirected,11984
1006,36,70,Undirected,2181
1007,36,75,Undirected,1202
1008,36,76,Undirected,4183
1009,36,81,Undirected,944
1010,36,82,Undirected,9140
1011,36,90,Undirected,1308
1012,36,92,Undirected,1360
1013,36,98,Undirected,3373
1014,36,99,Undirected,1294
1015,36,102,Undirected,4723
1016,36,104,Undirected,3413
1017,36,118,Undirected,2218
1018,36,121,Undirected,1768
1019,36,131,Undirected,2199
1021,37,6,Undirected,190
1022,37,7,Undirected,409
1024,37,15,Undirected,226
1030,37,34,Undirected,931
1031,37,35,Undirected,1492
1032,37,39,Undirected,188
1033,37,42,Undirected,953
1034,37,52,Undirected,4073
